Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Högbyskolan;94163432;Gotland;0980;Kommunal;Region Gotland;2120000803;70;87,1;90;237,6
Innovitaskolan S:t Jörgen;27265374;Göteborg;1480;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;76;69,7;80,3;237,6
Viaskolan 8-9;29154754;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;63;88,9;~100;237,6
Wallbergsskolan;42422737;Halmstad;1380;Enskild;Wallbergsskolans Ideella Förening;8492023802;22;95,5;~100;237,5
Berzeliusskolan 5;20474564;Linköping;0580;Kommunal;Linköpings kommun;2120000449;221;68,3;85,1;237,5
Bergvretenskolan;56521117;Enköping;0381;Kommunal;Enköpings kommun;2120000282;73;83,6;~100;237,4
Duveds skola F-9;53536862;Åre;2321;Kommunal;Åre kommun;2120002494;65;84,6;92,3;237,4
Internationella Engelska Skolan Johanneberg;41921747;Göteborg;1480;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;182;69,2;84,6;237,3
Sätoftaskolan;35670754;Höör;1267;Kommunal;Höörs kommun;2120001116;56;76,8;85,7;237,3
Fågelbacksskolan;44459183;Malmö;1280;Kommunal;Malmö kommun;2120001124;202;78,2;88,1;237,3
Njurunda Friskola;65125762;Sundsvall;2281;Enskild;Njurunda friskola AB;5568542210;21;76,2;~100;237,3
Stordammens skola;95132430;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;90;71,1;84,4;237,3
Kvarnbergsskolan;54516737;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;220;81,4;91,4;237,2
Skarpatorpsskolan;82075850;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;50;74;86;237,2
Frillesåsskolan 7-9;67578984;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;53;83;90,6;237,1
Strandskolan Montessoriföreningen i Kungälv;21917957;Kungälv;1482;Enskild;Strandskolan, Montessoriföreningen i Kungälv;8533007004;26;73,1;~100;237,1
Svaleboskolan;27508103;Lund;1281;Kommunal;Lunds kommun;2120001132;98;78,6;86,7;237,1
Gåvsta skola;12275851;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;60;73,3;90;237,1
Maria Parkskolan;42164778;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;170;77,6;86,5;237
Åsö grundskola;94864296;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;124;73,4;91,1;237
Strandskolan;81918902;Älvdalen;2039;Kommunal;Älvdalens kommun;2120002197;15;100;100;237
Internationella Engelska Skolan Eskilstuna;36759013;Eskilstuna;0484;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;171;71,9;94,7;236,9
Södervångskolan;28023150;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;46;84,8;89,1;236,9
Segeltorpsskolan;15483394;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;116;79,3;90,5;236,8
Tegnérskolan Karlshamn;16249641;Karlshamn;1082;Enskild;Skolalliansen i Sverige AB;5567497051;73;78,1;87,7;236,8
Montessoriskolan Älvkullen;49323438;Kungälv;1482;Enskild;Stiftelsen Montessori för Alla Barn;8533010537;17;88,2;~100;236,8
Kunskapsskolan Ystad;58980145;Ystad;1286;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;103;80,6;85,4;236,8
Viksjöskolan;98925408;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;228;71,9;81,6;236,7
Rudsskolan;23345056;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;194;83,5;91,8;236,6
Konradsbergsskolan;57329777;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;91;76,9;90,1;236,6
Fridaskolan, Uddevalla;27489448;Uddevalla;1485;Enskild;Fridaskolorna AB;5564515988;75;86,7;~100;236,6
Kråkbergsskolan 7-9;46323920;Luleå;2580;Kommunal;Luleå kommun;2120002742;76;92,1;~100;236,5
Tegs centralskola;49975985;Umeå;2480;Kommunal;Umeå kommun;2120002627;121;78,5;89,3;236,4
Kunskapsskolan Varberg;52846430;Varberg;1383;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;87;83,9;~100;236,4
Kristna skolan Oasen;38897013;Sundsvall;2281;Enskild;Kristna Skolan Oasen Ideella Förening;8892015598;16;75;~100;236,1
Centuriaskolan;83896681;Västerås;1980;Enskild;021 Skol AB;5568373228;42;81;~100;236,1
Aroseniusskolan;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;174;76,4;82,2;236
Tunaskolan;36350546;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;76;71,1;84,2;236
Stålvallaskolan;37648787;Filipstad;1782;Kommunal;Filipstads kommun;2120001876;10;..;100;236
Montessori Mondial Nacka;34135484;Nacka;0182;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;22;54,5;~100;236
Hallernaskolan 7-9;71509701;Stenungsund;1415;Kommunal;Stenungsunds kommun;2120001298;149;85,9;91,9;235,9
Fagerhultsskolan 4-9;80171267;Härryda;1401;Kommunal;Härryda kommun;2120001264;50;72;80;235,8
Änglagårdskolan;87427999;Göteborg;1480;Enskild;Gothenburg Association AB;5567295851;103;72,8;89,3;235,7
Stockholm International Academy Hägersten;11442396;Stockholm;0180;Enskild;Mubarak Utbildning AB;5568571748;23;69,6;~100;235,7
Adolfsbergsskolan 7-9;47684564;Örebro;1880;Kommunal;Örebro kommun;2120001967;169;74,6;92,9;235,7
Steningehöjdens skola;38854084;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;83;75,9;80,7;235,6
Änge skola 7-9;25036714;Krokom;2309;Kommunal;Krokoms kommun;2120002478;34;82,4;~100;235,4
Laröds skola;87251726;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;59;72,9;83,1;235,2
Smedshagsskolan;50060022;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;40;75;87,5;235,2
Ekholmsskolan;96360048;Linköping;0580;Kommunal;Linköpings kommun;2120000449;139;71,9;84,9;234,9
Ungärde skola;17208837;Malung-Sälen;2023;Kommunal;Malung-Sälens kommun;2120002148;31;90,3;~100;234,9
Östra skolan, Mörbylånga;50029898;Mörbylånga;0840;Enskild;CIS Kalmar AB;5565896213;22;81,8;~100;234,9
Montessoriskolan Centrum;73995321;Göteborg;1480;Enskild;Stiftelsen Montessoriskolan Centrum;8572066309;29;79,3;~100;234,8
Streteredsskolan;54881559;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;68;80,9;82,4;234,8
Stigslunds skola;91652716;Gävle;2180;Kommunal;Gävle kommun;2120002338;112;75;92;234,7
Gustavslundsskolan;30731471;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;51;80,4;86,3;234,7
Almby skola F-9;22049573;Örebro;1880;Kommunal;Örebro kommun;2120001967;138;81,2;89,9;234,7
Friskolan i Kärna;25790317;Kungälv;1482;Enskild;Mona Hurtig Skol AB;5565204129;41;90,2;~100;234,6
Nyckelskolan;16068461;Södertälje;0181;Enskild;Nyckelknippan Förskole Aktiebolag;5564787397;28;78,6;78,6;234,6
Ydreskolan 2;61662490;Ydre;0512;Kommunal;Ydre kommun;2120000381;35;91,4;~100;234,6
Hillerstorpsskolan 7-9;33877675;Gnosjö;0617;Kommunal;Gnosjö kommun;2120000506;38;76,3;81,6;234,5
OneSchool Global Nyby Campus Grundskola;48694604;Hylte;1315;Enskild;OneSchool Global Nyby Campus AB;5566657515;10;..;..;234,5
Nyeds skola;41081474;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;34;82,4;~100;234,5
Eriksdalsskolan;59249600;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;159;74,2;79,9;234,5
Nordic International School Norrköping;67542970;Norrköping;0581;Enskild;Nordic International School AB;5566102033;82;67,1;82,9;234,4
Gubbängsskolan;93412255;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;96;79,2;90,6;234,4
Ellen Keyskolan;27459423;Västervik;0883;Kommunal;Västerviks kommun;2120000779;135;78,5;88,1;234,4
Noblaskolan Hagaberg;30313010;Västerås;1980;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;60;60;85;234,4
Ronnaskolan;51210001;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;56;60,7;83,9;234,3
Västra Skolan;27153243;Falun;2080;Kommunal;Falu kommun;2120002221;178;76,4;92,1;234,2
Hultdalsskolan;40393888;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;130;76,9;89,2;234,2
Montessoriskolan i Falun;57444890;Falun;2080;Kommunal;Falu kommun;2120002221;27;77,8;~100;234,1
Kålltorpsskolan 7-9;16954837;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;140;75,7;82,9;234
Landvetterskolan 7-9 ABC;28836025;Härryda;1401;Kommunal;Härryda kommun;2120001264;70;80;84,3;234
Vittra Jakobsberg;66634449;Järfälla;0123;Enskild;Vittraskolorna AB;5564586716;44;61,4;84,1;234
Sandgärdskolan 7-9;98081621;Borås;1490;Kommunal;Borås kommun;2120001561;145;81,4;94,5;233,9
Olandsskolan;90876801;Östhammar;0382;Kommunal;Östhammars kommun;2120000290;45;75,6;84,4;233,9
Norgårdenskolan 7-9;10405686;Uddevalla;1485;Kommunal;Uddevalla kommun;2120001397;146;81,5;90,4;233,8
Internationella Engelska Skolan Västerås;46042136;Västerås;1980;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;114;69,3;86;233,8
Strandenskolan F-9;17181067;Dorotea;2425;Kommunal;Dorotea kommun;2120002809;32;75;~100;233,7
Montessoriskolan Elyseum 6-9;75602219;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;27;70,4;74,1;233,7
Vittra Kungshagen;50698424;Nyköping;0480;Enskild;Vittraskolorna AB;5564586716;57;84,2;~100;233,7
Sjöängsskolan;13124830;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;94;72,3;84;233,6
Gnesta Waldorfskola;35159342;Gnesta;0461;Enskild;Gnesta Waldorfskoleförening;8190013030;15;86,7;~100;233,5
Torpskolan skolenhet 2;20361674;Lerum;1441;Kommunal;Lerums kommun;2120001447;55;83,6;90,9;233,5
Elinelundsskolan;77378918;Malmö;1280;Kommunal;Malmö kommun;2120001124;89;74,2;80,9;233,5
Hagaskolan;84585645;Solna;0184;Enskild;Djurgårdens Waldorfskoleförening;8024222641;26;80,8;~100;233,5
Jättestensskolan F-9;55124975;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;80;78,8;88,8;233,4
Jonstorpsskolan;83983639;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;56;80,4;~100;233,4
Vargen Kiruna;73281949;Kiruna;2584;Enskild;Skolalliansen i Sverige AB;5567497051;26;84,6;~100;233,4
Alléskolan skolenhet Bok;57470446;Lerum;1441;Kommunal;Lerums kommun;2120001447;75;72;86,7;233,4
Pajala Centralskola;12443258;Pajala;2521;Kommunal;Pajala kommun;2120002718;46;82,6;~100;233,4
Enbacksskolan;43632318;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;44;72,7;~100;233,4
Ärentunaskolan;64800741;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;165;73,3;83;233,4
Friskolan Lust & Lära;91187921;Bollnäs;2183;Enskild;Friskolan Lust & Lära i Bollnäs AB;5567748149;137;87,6;90,5;233,3
Tågaborgsskolan;87948789;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;101;77,2;87,1;233,2
Landvetterskolan 7-9 DEF;29069124;Härryda;1401;Kommunal;Härryda kommun;2120001264;52;86,5;90,4;233,2
Råsslaskolan 1;80621158;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;87;86,2;93,1;233,2
Musikgrundskolan Synkopen;55200547;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;29;51,7;82,8;233
Friskolan Kvarnhjulet;64490264;Mölndal;1481;Enskild;Friskolan Kvarnhjulet, ekonomisk förening;7164452166;25;76;~100;233
Påskbergsskolan 4-9;50675351;Varberg;1383;Kommunal;Varbergs kommun;2120001249;57;78,9;86;233
Malmen Montessori;10132939;Borås;1490;Enskild;Malmen Montessori;8645012132;57;80,7;91,2;232,9
Neptuniskolan;92819736;Malmö;1280;Kommunal;Malmö kommun;2120001124;170;64,7;77,1;232,9
Internationella Engelska Skolan Skärholmen;72066571;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;85;64,7;72,9;232,9
Entréskolan Örebro;76192118;Örebro;1880;Enskild;AmiSgo AB;5568148117;29;79,3;~100;232,9
Söndrumsskolan F-9;67995611;Halmstad;1380;Kommunal;Halmstads kommun;2120001215;139;82,7;87,1;232,8
Umeå Waldorfskola, gr;16183719;Umeå;2480;Enskild;Stiftelsen Umeå Waldorfskola R Karlsson Mfl;8940012076;23;69,6;~100;232,8
Engelbrektskolan 7-9;86215855;Borås;1490;Kommunal;Borås kommun;2120001561;117;74,4;79,5;232,7
Friskolan Svettpärlan;93964634;Karlskrona;1080;Enskild;Friskolan Svettpärlan AB;5565570446;27;92,6;~100;232,7
Läraskolan;28306495;Håbo;0305;Enskild;Läraskolan i Bålsta AB;5567275663;23;73,9;~100;232,6
Smedingeskolan Norr;35822371;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;96;78,1;88,5;232,6
Åsaskolan 7-9AD;62677187;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;61;70,5;85,2;232,6
Killebäckskolan;42754004;Lund;1281;Kommunal;Lunds kommun;2120001132;115;80,9;88,7;232,6
Minervaskolan;75713343;Umeå;2480;Enskild;Minervaskolan i Umeå AB;5565735049;97;76,3;89,7;232,6
Entréskolan Västerås;77743622;Västerås;1980;Enskild;AmiSgo AB;5568148117;29;72,4;~100;232,6
Björkebyskolan;40847752;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;181;75,7;91,2;232,5
Soldalaskolan;40175889;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;50;68;86;232,5
Torpskolan skolenhet 1;21176313;Lerum;1441;Kommunal;Lerums kommun;2120001447;56;71,4;82,1;232,4
Hortlax skola;10185533;Piteå;2581;Kommunal;Piteå kommun;2120002759;104;85,6;93,3;232,4
Assaredsskolan;25852980;Göteborg;1480;Enskild;Assareds Skolkooperativ Ek För.;7164451390;24;83,3;~100;232,3
Sandåkerskolan;77747055;Landskrona;1282;Kommunal;Landskrona kommun;2120001140;74;74,3;82,4;232,3
Arenaskolan;46165416;Linköping;0580;Kommunal;Linköpings kommun;2120000449;176;78,4;93,2;232,3
Paradisskolan 4-9;38786603;Trollhättan;1488;Kommunal;Trollhättans kommun;2120001546;70;74,3;87,1;232,3
Kapareskolan A-D;28803215;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;95;82,1;88,4;232,2
Vikingaskolan;68201054;Lund;1281;Kommunal;Lunds kommun;2120001132;56;66,1;80,4;232,1
Vittra Lambohov;26255239;Linköping;0580;Enskild;Vittraskolorna AB;5564586716;16;81,3;~100;232
Centralskolan;17240817;Tierp;0360;Kommunal;Tierps kommun;2120000266;51;74,5;86,3;232
Friskolan Metis;46013569;Skara;1495;Enskild;Lärocentrum i Skara Ekonomisk Förening;7696068381;30;83,3;~100;231,9
Hagaskolan 4-9;26579492;Varberg;1383;Kommunal;Varbergs kommun;2120001249;27;85,2;~100;231,9
Vittra Landborgen;90080902;Helsingborg;1283;Enskild;Vittraskolorna AB;5564586716;23;60,9;~100;231,8
Rönnowskolan H2;13756290;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;159;81,1;87,4;231,8
Vittra Gerdsken;98272016;Alingsås;1489;Enskild;Vittraskolorna AB;5564586716;61;82;~100;231,7
Sonfjällsskolan;85325551;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;22;86,4;100;231,7
Spängerskolan LMH;48514283;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;24;75;~100;231,7
Sinntorpsskolan 4-9;90949251;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;81;79;87,7;231,7
Lillhagaskolan;99640618;Nykvarn;0140;Kommunal;Nykvarns kommun;2120002999;170;76,5;83,5;231,7
Hansåkerskolan;22316816;Ragunda;2303;Kommunal;Ragunda kommun;2120002452;21;76,2;~100;231,7
Lina grundskola;62288230;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;37;67,6;83,8;231,7
Vittra Sollentuna;58102266;Sollentuna;0163;Enskild;Vittraskolorna AB;5564586716;21;76,2;~100;231,5
Norreportskolan;89680009;Ystad;1286;Kommunal;Ystad kommun;2120001181;176;77,3;88,6;231,5
Korsbackaskolan;46107605;Kävlinge;1261;Kommunal;Kävlinge kommun;2120001058;170;77,1;89,4;231,4
Rönninge skola;71677992;Salem;0128;Kommunal;Salems kommun;2120002874;57;78,9;87,7;231,4
Ölands Friskola;28562125;Mörbylånga;0840;Enskild;Friskolan Öland AB;5590250949;49;93,9;~100;231,3
Kastellskolan;69454219;Härnösand;2280;Enskild;Kastellskolan;8880008365;25;76;~100;231,2
Bikupan;74218950;Lessebo;0761;Kommunal;Lessebo kommun;2120000613;76;71,1;78,9;231,2
Floraskolan;81992480;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;91;83,5;90,1;231,2
Kämpetorpsskolan;70398560;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;135;75,6;86,7;231,1
Guteskolan, grundskola;42518434;Gotland;0980;Enskild;Guteskolan AB;5567044267;43;90,7;~100;231
Örkenedskolan F-9;21002578;Osby;1273;Kommunal;Osby kommun;2120000902;24;79,2;~100;231
Strömstiernaskolan 7-9;51494126;Strömstad;1486;Kommunal;Strömstads kommun;2120001405;146;67,8;82,9;231
Malmsjö skola;86985859;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;51;76,5;86,3;230,9
Uppgårdskolan;95057356;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;109;77,1;85,3;230,9
Gärdsåsskolan 4-9;93904124;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;49;63,3;79,6;230,8
Raoul Wallenbergskolan Lidköping;11340770;Lidköping;1494;Enskild;Raoul Wallenbergskolorna Skaraborg AB;5591438618;116;77,6;90,5;230,8
Ljungsbro skola 7-9;42454305;Linköping;0580;Kommunal;Linköpings kommun;2120000449;84;69;81;230,8
Karlslundsskolan;11193969;Vallentuna;0115;Kommunal;Vallentuna kommun;2120000027;60;80;90;230,8
Skälbyskolan;50095535;Västerås;1980;Enskild;CK Utbildning AB;5569081150;44;79,5;86,4;230,8
Robinson Vårfru;83519502;Enköping;0381;Enskild;Tellusskolan AB;5568086085;45;86,7;~100;230,7
Elinebergsskolan;41811292;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;178;75,3;82,6;230,6
Sundbyskolan;44046131;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;108;76,9;88;230,6
Hagaskolan F-9;84622889;Umeå;2480;Kommunal;Umeå kommun;2120002627;111;78,4;88,3;230,6
Runby skola;77624936;Upplands Väsby;0114;Kommunal;Upplands Väsby kommun;2120000019;85;71,8;75,3;230,6
Hammarskolan AB;94348319;Vännäs;2460;Kommunal;Vännäs kommun;2120002841;53;58,5;83;230,6
Råneskolan 7-9;22462490;Luleå;2580;Kommunal;Luleå kommun;2120002742;36;75;~100;230,5
Vallhallaskolan F-9;65582914;Oskarshamn;0882;Kommunal;Oskarshamns kommun;2120000761;116;80,2;87,1;230,5
Bergskolan 7-9;72942852;Luleå;2580;Kommunal;Luleå kommun;2120002742;116;81;90,5;230,4
Rosengårdsskolan 7-9;39124119;Malmö;1280;Kommunal;Malmö kommun;2120001124;23;78,3;~100;230,4
Kärraskolan F-9;46391611;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;76;76,3;93,4;230,3
Nättraby kunskapscentrum F-9;76323160;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;83;83,1;92,8;230,3
Prolympia, Gävle;57578095;Gävle;2180;Enskild;Ulno AB;5566577705;117;82,9;94;230,2
Hammarskolan CD;90298777;Vännäs;2460;Kommunal;Vännäs kommun;2120002841;50;78;88;230,2
Hagabodaskolan;38553494;Habo;0643;Kommunal;Habo kommun;2120001611;172;71,5;82;230,1
Antonskolan Blekedamm;14555807;Kristianstad;1290;Enskild;Anton Utbildning AB;5566024906;24;83,3;~100;230,1
Enebyskolan 2;35609364;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;59;67,8;88,1;230
Östra skolan;35993773;Falun;2080;Kommunal;Falu kommun;2120002221;20;70;100;229,9
Mellersta Förstadsskolan;80830464;Malmö;1280;Kommunal;Malmö kommun;2120001124;138;68,8;87;229,9
Sorgenfriskolan;67130748;Malmö;1280;Kommunal;Malmö kommun;2120001124;73;68,5;78,1;229,9
Odensalaskolans grundskola;92218121;Östersund;2380;Kommunal;Östersunds kommun;2120002528;108;74,1;88,9;229,9
Strandängsskolan F-9;16148785;Båstad;1278;Kommunal;Båstads kommun;2120000944;113;74,3;85;229,8
Toftanässkolan;98713812;Malmö;1280;Kommunal;Malmö kommun;2120001124;111;71,2;88,3;229,8
Adolfsbergsskolan;22335099;Knivsta;0330;Kommunal;Knivsta kommun;2120003013;143;76,2;83,2;229,7
Önnestads skola H;18636287;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;49;67,3;85,7;229,7
Oxelöskolan;12053461;Oxelösund;0481;Kommunal;Oxelösunds kommun;2120000324;43;76,7;~100;229,7
Pilevallskolan;24947938;Trelleborg;1287;Kommunal;Trelleborgs kommun;2120001199;42;69;76,2;229,7
Norrstrandsskolan 7-9;20191380;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;183;75,4;89,6;229,5
Bruksskolan;15973939;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;51;74,5;88,2;229,4
Varlaskolan Sydväst;84159690;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;50;82;84;229,4
Munkhätteskolan;74972690;Malmö;1280;Kommunal;Malmö kommun;2120001124;65;67,7;86,2;229,3
Ekenässkolan;83526311;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;117;74,4;86,3;229,2
Ilandaskolan;27418903;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;169;76,9;94,7;229,2
Ljusterö skola;53319802;Österåker;0117;Kommunal;Österåkers kommun;2120002890;13;84,6;100;229,2
Kungsgårdsskolan SO 2;49648821;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;77;77,9;90,9;229,1
Kungshögsskolan 2;87262274;Ljungby;0781;Kommunal;Ljungby kommun;2120000670;27;66,7;~100;228,9
Rosendals skola;43933186;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;144;66,7;77,8;228,9
Kvarnbergsskolan;97402564;Värmdö;0120;Kommunal;Värmdö kommun;2120000035;119;80,7;90,8;228,9
HagaLyckebyskolan;81680693;Haninge;0136;Kommunal;Haninge kommun;2120000084;87;78,2;87,4;228,8
Finjasjöparkskolan Hässleholm;79864142;Hässleholm;1293;Enskild;Skolalliansen i Sverige AB;5567497051;52;67,3;80,8;228,8
Gottsundaskolan;93042073;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;143;62,9;83,2;228,7
Hammerstaskolan;25918983;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;51;58,8;84,3;228,6
Dalslundskolan 7-9;58712142;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;76;68,4;76,3;228,6
Svensgårdsskolan;89693828;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;46;76,1;80,4;228,6
Södertälje friskola;38394561;Södertälje;0181;Enskild;Södertälje Friskola Aktiebolag;5565570149;46;67,4;87;228,6
Djurgårdsskolan F-9;54605092;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;122;73,8;82,8;228,4
Södermalmsskolan 7-9;70156609;Kristinehamn;1781;Kommunal;Kristinehamns kommun;2120001868;78;66,7;84,6;228,4
Junkaremålsskolan 7-9;18476537;Tranås;0687;Kommunal;Tranås kommun;2120000597;111;76,6;84,7;228,4
Internationella Engelska Skolan Skellefteå;92621428;Skellefteå;2482;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;54;57,4;70,4;228,3
Elin Wägnerskolan 1;49233138;Växjö;0780;Kommunal;Växjö kommun;2120000662;50;70;78;228,2
Skogstorpsskolan F-9;30622727;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;135;74,1;~100;228,1
Lindbergs skola 4-9;23521056;Varberg;1383;Kommunal;Varbergs kommun;2120001249;39;82,1;~100;228,1
Lammhults skola;20877276;Växjö;0780;Kommunal;Växjö kommun;2120000662;36;72,2;80,6;228,1
Björkskataskolan 7-9;89477984;Luleå;2580;Kommunal;Luleå kommun;2120002742;122;79,5;87,7;228
Ekdalaskolan 7-9;69723336;Härryda;1401;Kommunal;Härryda kommun;2120001264;104;77,9;84,6;227,9
Sandbyhovsskolan;64558930;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;102;74,5;87,3;227,8
Vasaskolan 2;83894630;Skövde;1496;Kommunal;Skövde kommun;2120001710;108;71,3;87;227,8
Prolympia, Jönköping;95673344;Jönköping;0680;Enskild;Prolympia AB;5567026454;110;73,6;84,5;227,7
Västervångskolan;38375490;Trelleborg;1287;Kommunal;Trelleborgs kommun;2120001199;85;69,4;91,8;227,7
Gantofta skola;28424574;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;37;62,2;70,3;227,6
Slättgårdsskolan;59468219;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;39;53,8;~100;227,6
Strängnäs Montessoriskola;30181143;Strängnäs;0486;Enskild;Strängnäs Montessoriskola Ekonomisk förening;7696027619;46;73,9;78,3;227,6
Bregårdsskolan 7-9;71762216;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;135;72,6;83;227,4
Solstadens skola;85092070;Karlstad;1780;Enskild;Edukatus Alliance AB;5566139290;26;69,2;~100;227,4
Vallhamra skola 7-9;92848832;Partille;1402;Kommunal;Partille kommun;2120001272;133;75,2;85,7;227,3
Södra Ålidhemsskolan 6-9;42752416;Umeå;2480;Kommunal;Umeå kommun;2120002627;64;67,2;84,4;227,3
Västangårds skola F-9;79372311;Umeå;2480;Kommunal;Umeå kommun;2120002627;42;78,6;~100;227,3
Almåsskolan;40577779;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;123;65,9;78;227,2
Kungsgårdsskolan SO 1;51900988;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;77;76,6;87;227,2
Klarebergsskolan F-9;71204165;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;110;81,8;89,1;227,1
Ribbaskolan 7-9;83919671;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;101;69,3;91,1;227,1
Häggvallskolan Öst;62803447;Tjörn;1419;Kommunal;Tjörns kommun;2120001306;93;83,9;90,3;227,1
Maja Beskowskolan;84461484;Umeå;2480;Kommunal;Umeå kommun;2120002627;173;73,4;86,1;227,1
Lagaholmsskolan;50150550;Laholm;1381;Kommunal;Laholms kommun;2120001223;120;66,7;78,3;227
Nya Skolan, Lilla Edet;74771085;Lilla Edet;1462;Enskild;Nya Skolan Sverige AB;5566127600;15;..;..;227
Innovitaskolan Motalas Högstadium;11664326;Motala;0583;Enskild;AcadeMedia fria grundskolor AB;5569320699;75;64;85,3;226,9
