school_id,school_name,municipality,address,merit_value,school_type,latitude,longitude
79522184,Kvibergsskolan F-9,Göteborg,Luftvärnsvägen 25,219.2,Kommunal,57.73566810000001,12.0382779
11465652,Torpaskolan F-9,Göteborg,Billerudsgatan 1,219.2,Kommunal,57.7256806,12.037477
32866578,Broskolan Ö-viks Kristna skola,Örnsköldsvik,Brogatan 105,219.2,Enskild,63.2767777,18.6498754
10443922,Entréskolan Eskilstuna,Eskilstuna,Smedjegatan 43,219.0,Enskild,59.3713106,16.5034439
21157015,Astradskolan 3,Ljungby,Replösavägen 4,219.0,Kommunal,56.8308794,13.9551548
67809657,Kågeskolan,Skellefteå,Jörnsvägen 27,219.0,Kommunal,64.8446271,20.9152015
49730992,Nyhemsskolan SO 1,Ängelholm,Gåsahalsvägen 20,218.9,Kommunal,56.2413751,12.8798951
27489659,Brinells högstadium,Nässjö,Brinellgatan 52,218.8,Kommunal,57.66736530000001,14.7007023
26831439,Lillåns skola F-9,Örebro,Kyrkvägen 3-5,218.7,Kommunal,59.3208152,15.2283678
17033155,Britsarvsskolan,Falun,Hellbergs väg 11,218.7,Kommunal,60.6250712,15.6221197
53662534,Väskolan H,Kristianstad,Folkvandringen 1,218.6,Kommunal,56.0012361,14.0805949
72526185,Lärande Grundskola Södra,Norrköping,Sprängstensgatan 1,218.6,Enskild,58.5716958,16.1821213
89477299,Stöpenskolan,Skövde,Hästskovägen 4,218.6,Kommunal,58.4757135,13.8664463
16057411,Vasaskolan 1,Skövde,Parkgatan 2,218.6,Kommunal,58.3838958,13.8401612
82807694,Engelbrektsskolan,Örebro,Wadköpingsvägen 15,218.6,Kommunal,59.27250830000001,15.2390049
52561988,Skytteanska skolan,Storuman,Östra Strandvägen 26,218.4,Kommunal,65.7119044,15.2847976
50126333,Mörsil F-9,Åre,Skolvägen 9,218.4,Kommunal,63.3456757,13.4697229
23192281,Forshedaskolan,Värnamo,Slättövägen 9,218.4,Kommunal,57.1579786,13.8229991
30917018,Furudals centralskola,Rättvik,Skolvägen 8,218.4,Kommunal,61.16672790000001,15.1478073
43362307,Celsiusskolan 7-9,Ovanåker,Sporthallsvägen 7,218.4,Kommunal,61.3789834,15.8115424
68533503,Forshaga Lärcenter H-stadiet,Forshaga,Malmgatan 2A,218.4,Kommunal,59.52913189999999,13.4804783
31381375,Nya Centralskolan 4-9,Grästorp,Jon Jespersgatan 48,218.3,Kommunal,58.3304729,12.6847922
51392146,Klågerupskolan F-9,Svedala,Stensminnevägen 2,218.3,Kommunal,55.5910032,13.2446029
28059616,Teleborg Centrum skola 2,Växjö,Smedsvängen 72,218.3,Kommunal,56.8518458,14.8206632
32970785,Älvåkraskolan,Älvsbyn,Medborgargatan 4,218.3,Kommunal,65.67418119999999,21.0004821
12247315,Gullmarsskolan 7-9,Lysekil,Norra Kvarngatan 41,218.2,Kommunal,58.27896909999999,11.4388315
18915192,Fokusskolan,Nyköping,Hälsovägen 11,218.0,Enskild,58.7613259,17.0386642
65161034,Ringsbergskolan,Växjö,Västergatan 20,217.9,Kommunal,56.8832901,14.8046034
46898596,Tullbroskolan,Falkenberg,Halmstadvägen 2,217.8,Kommunal,56.9033591,12.5009351
34231336,Carl Johanskolan,Karlsborg,Kungsgatan 16,217.7,Kommunal,58.53137599999999,14.5105377
46721838,Skårbyskolan Söder,Kungsbacka,Haramossevägen 5,217.7,Kommunal,57.52100549999999,12.0806818
90728703,Raoul Wallenbergskolan Skövde,Skövde,Rådmansgatan 24,217.7,Enskild,58.4020983,13.8534316
29677535,Nannaskolan,Uppsala,Kungsgatan 24,217.7,Kommunal,59.8623771,17.6390506
99992013,Vialundskolan,Kumla,Viagatan 5,217.6,Kommunal,59.122975,15.1322602
57243353,Grundskolan Äventyret,Västerås,Slagfjädergatan 9,217.6,Enskild,59.63086850000001,16.574821
51387807,Lillhagsskolan,Gävle,Depkens väg 21,217.5,Kommunal,60.67652140000001,17.256943
36374693,Heby skola 7-9,Heby,Skolgatan 7,217.5,Kommunal,59.9369855,16.8586197
75853223,Åbyskolan 2,Ljungby,Gunnarsforsgatan 7,217.5,Kommunal,56.9152268,14.0048902
35110948,Viksängsskolan,Västerås,Viksängsgatan 23,217.5,Kommunal,59.60757599999999,16.5845317
62995298,Vallaskolan 7-9,Sala,Ringgatan 14A,217.4,Kommunal,59.9186523,16.6021412
63287550,Bräcke skola,Bräcke,Jämtlandsgatan 12,217.4,Kommunal,62.7512913,15.4230735
